cust_id,총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기,gender
3500,70900400,22000000,4050000.0,3,9,13,1.4615384615384617,0.7894736842105263,26,0.18315685
3501,310533100,38558000,48034700.0,9,19,90,2.433333333333333,0.3698630136986301,3,0.16423059
3502,305264140,14825000,30521000.0,0,8,101,14.623762376237625,0.08327691266079891,3,0.055453505
3503,7594080,5225000,0.0,32,9,5,2.0,0.0,47,0.39638528
3504,1795790,1411200,0.0,20,22,3,2.6666666666666665,0.125,8,0.11452608
3505,13000000,2160000,0.0,41,19,5,2.2,0.0,61,0.2484464
3506,420892520,69920000,39566000.0,5,8,144,2.618055555555556,0.2493368700265252,2,0.26967838
3507,1152000,1152000,0.0,21,11,1,1.0,0.0,0,0.86351895
3508,4825000,4825000,0.0,41,18,1,1.0,0.0,0,0.16520776
3509,110787210,19255600,23062000.0,0,5,28,3.321428571428572,0.3763440860215054,12,0.19151905
3510,107894360,19668000,29502000.0,11,8,21,2.0,0.2380952380952381,14,0.18637905
3511,4500000,4500000,750000.0,5,0,3,1.6666666666666667,0.6,2,0.20556968
3512,2467010,280000,280000.0,0,8,23,3.4347826086956523,0.0379746835443038,15,0.7077059
3513,54761980,8592000,0.0,5,11,30,2.3,0.08695652173913042,11,0.05895703
3514,2196400,1175300,0.0,20,0,3,3.333333333333333,0.5,112,0.6705608
3515,54095600,11761200,0.0,22,0,8,2.125,0.29411764705882354,29,0.26070017
3516,300847300,42144000,68184000.0,11,6,23,2.9565217391304346,0.3970588235294117,12,0.0044354387
3517,76051000,21120000,0.0,41,8,6,1.5,0.1111111111111111,39,0.1523998
3518,53283500,33600000,0.0,4,15,2,3.5,0.0,63,0.49499986
3519,24380200,9600000,0.0,36,8,2,2.5,1.0,46,0.8475568
3520,17262940,7920000,0.0,9,8,6,1.1666666666666667,0.2857142857142857,18,0.7972016
3521,68141000,30000000,0.0,13,9,5,1.6,0.375,31,0.19773017
3522,1678600,1678600,0.0,4,9,1,1.0,0.0,0,0.55149037
3523,757475030,31590000,28354000.0,5,8,103,4.349514563106796,0.29017857142857145,3,0.2159293
3524,30139900,17000000,0.0,22,8,5,2.0,0.4,53,0.2087336
3525,5760000,5760000,0.0,2,18,1,1.0,1.0,0,0.41283673
3526,13097300,7200000,5924000.0,22,10,5,2.8,0.14285714285714285,42,0.064262725
3527,18680000,17000000,0.0,8,15,2,1.5,0.3333333333333333,38,0.45916557
3528,3172900,1727000,0.0,2,18,3,1.0,0.0,29,0.5752914
3529,4156000,2500000,1078000.0,37,11,2,2.5,0.0,3,0.3343901
3530,337492920,22890000,0.0,5,4,68,3.0735294117647056,0.3492822966507177,5,0.33314785
3531,6042000,3634000,0.0,6,10,2,3.5,0.0,21,0.4728183
3532,51731800,28952000,34750000.0,22,15,14,1.6428571428571428,0.13043478260869565,24,0.26266423
3533,23679450,7832000,0.0,34,11,13,4.076923076923077,0.37735849056603776,9,0.4708087
3534,925520,264000,0.0,0,11,4,2.75,0.0,50,0.30088645
3535,8387000,6600000,0.0,23,8,1,3.0,0.0,0,0.38531443
3536,11856500,9142500,0.0,6,8,3,1.6666666666666667,0.0,23,0.81855625
3537,51200400,25000000,20205000.0,3,3,3,3.0,0.2222222222222222,36,0.09238894
3538,5804900,3240000,0.0,0,0,4,2.75,0.09090909090909093,74,0.756367
3539,743400,743400,0.0,40,11,1,1.0,0.0,0,0.44731995
3540,417237910,156000000,0.0,5,8,28,4.0,0.20535714285714285,11,0.027616099
3541,336993960,16380000,13181400.0,9,22,78,5.307692307692308,0.8840579710144928,4,0.13733056
3542,26268800,15423800,0.0,11,8,2,4.0,1.0,31,0.2890331
3543,169690400,166760000,0.0,14,19,4,1.0,0.25,80,0.38953206
3544,18242200,3796800,600000.0,17,8,6,3.0,0.0,41,0.32788277
3545,95846730,13930000,0.0,5,19,22,3.0454545454545454,0.6417910447761194,13,0.2443524
3546,124269100,15900000,3140000.0,36,8,27,2.6666666666666665,0.1111111111111111,12,0.050093878
